COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	SCOPE	TRUNC(MEOL_AT,'MM')
62	62	164746467	data09_900GeV	2014-10-01 00:00:00.0
27	2016	98004709234	data09_2TeV	2019-10-01 00:00:00.0
136	136	18349793409	data09_calophys	2019-09-01 00:00:00.0
121	317	29787815385	data09_cos	2010-10-01 00:00:00.0
900	234506	109616194878104	data16_cos	2114-11-01 00:00:00.0
56	11584	4314300867356	mc12_7TeV	2018-07-01 00:00:00.0
204	24051	19108773973472	valid3	2016-07-01 00:00:00.0
407	72879	67385619698611	data12_8TeV	2017-02-01 00:00:00.0
206	1517	1315330186188	data15_calib	2113-09-01 00:00:00.0
257	1106	869170039696	data16_calib	2114-08-01 00:00:00.0
103	166943	6685661520434	valid2	2017-01-01 00:00:00.0
34	68000	10387937717473	mc14_13TeV	2019-06-01 00:00:00.0
477	115936	6998423593541	mc12_8TeV	2015-10-01 00:00:00.0
382	230910	33361931193334	valid1	2017-10-01 00:00:00.0
175	127174	210697593804096	data_test	2114-11-01 00:00:00.0
17	3548	62721377220	mc12_7TeV	2016-07-01 00:00:00.0
9	1325	2211153708299	valid1	2016-01-01 00:00:00.0
255	4469	1189452774219	data15_comm	2020-08-01 00:00:00.0
409	50579	165568810344770	data15_comm	2017-05-01 00:00:00.0
228	2262	402856186696	mc12_13TeV	2018-04-01 00:00:00.0
26	507	93550396277	mc15_14TeV	2018-10-01 00:00:00.0
1807	599598	392455706124456	data11_7TeV	2110-05-01 00:00:00.0
140	8006	4445785418448	data16_comm	2114-12-01 00:00:00.0
242	41618	15965978625256	data15_cos	2114-06-01 00:00:00.0
1857	1032571	621856881391744	data12_8TeV	2111-01-01 00:00:00.0
142	142813	68361053824685	mc15_14TeV	2017-07-01 00:00:00.0
32	1147	582391603048	data16_comm	2018-05-01 00:00:00.0
36	102	135442177424	data15_13TeV	2115-02-01 00:00:00.0
379	16660	537761813962	mc12_8TeV	2019-01-01 00:00:00.0
16	2278	5496964902700	mc14_13TeV	2016-07-01 00:00:00.0
771	2822	1562626994568	data13_calib	2111-08-01 00:00:00.0
64	2137	244108783720	data16_cos	2018-07-01 00:00:00.0
718	13458	13050577127876	data11_calib	2110-02-01 00:00:00.0
83	214058	175910470508211	mc12_14TeV	2014-06-01 00:00:00.0
61	320	551656494448	data15_calib	2114-10-01 00:00:00.0
185	334710	97821182517346	data15_5TeV	2018-02-01 00:00:00.0
