COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	SCOPE	TRUNC(MEOL_AT,'MM')
483	16485	1477726090879	data12_8TeV	2018-05-01 00:00:00.0
151	78492	24909497329463	mc12_8TeV	2015-08-01 00:00:00.0
9	6600	336775314146	mc15_valid	2019-06-01 00:00:00.0
46	255280	4267733666755	mc15_valid	2016-08-01 00:00:00.0
126	1473	121107227505	data16_comm	2021-04-01 00:00:00.0
197	17641	26309445536728	data11_comm	2109-10-01 00:00:00.0
18	18	2745846805	data11_1beam	2021-01-01 00:00:00.0
72	14007	10127734871246	mc15_valid	2017-03-01 00:00:00.0
67	67	7276843339	data11_comm	2021-03-01 00:00:00.0
6	31	25894917196	data11_muoncomm	2109-08-01 00:00:00.0
3766	411554	24436251151981	data11_7TeV	2021-07-01 00:00:00.0
653	2032	1006742348144	data11_calib	2110-06-01 00:00:00.0
744	10393	9794608734016	data11_calib	2110-04-01 00:00:00.0
3272	16984	4762308673348	data11_7TeV	2016-08-01 00:00:00.0
51	5468	1620965841088	data11_cos	2110-01-01 00:00:00.0
313	40113	20845863462852	data12_cos	2110-10-01 00:00:00.0
44	113	90211567880	data11_calib	2110-08-01 00:00:00.0
100	15390	33182565395823	data11_7TeV	2015-07-01 00:00:00.0
28	100	52862190828	data11_calib	2110-07-01 00:00:00.0
41	41	3544150122	data11_cos	2021-05-01 00:00:00.0
35	230	15353871483	data11_comm	2016-07-01 00:00:00.0
37	1725	29056847324	data11_7TeV	2013-01-01 00:00:00.0
92	35050	25131562228248	data12_hip	2111-04-01 00:00:00.0
60	15248	13283284666520	data12_comm	2111-05-01 00:00:00.0
105	323	164007969093	data12_comm	2017-09-01 00:00:00.0
26	26	2292175322	data12_comm	2022-06-01 00:00:00.0
1896	1513278	969235348055528	data12_8TeV	2111-06-01 00:00:00.0
166	114931	66934812240392	data12_8TeV	2111-07-01 00:00:00.0
42	7915	4188849130424	data12_larcomm	2111-07-01 00:00:00.0
35	442	444248215956	data12_tilecomm	2111-08-01 00:00:00.0
45	15313	31067419981798	data12_8TeV	2016-07-01 00:00:00.0
44	44	3376701325	data13_comm	2022-11-01 00:00:00.0
31	8814	520817643906	data11_2p76TeV	2023-01-01 00:00:00.0
953	25549	1944008217348	data12_8TeV	2023-04-01 00:00:00.0
283	3424	757084027526	data13_2p76TeV	2018-01-01 00:00:00.0
381	129722	120214331162280	data13_2p76TeV	2111-09-01 00:00:00.0
60	10903	840030737984	data12_8TeV	2023-10-01 00:00:00.0
39	827	92427206099	data12_8TeV	2023-07-01 00:00:00.0
154	13556	14423901284115	data16_cos	2016-10-01 00:00:00.0
129	129	4549468259	data14_cos	2024-08-01 00:00:00.0
3	4307	24996909573	data12_8TeV	2024-06-01 00:00:00.0
2086	304314	18970203278511	mc11_7TeV	2016-10-01 00:00:00.0
74	32108	3121720502522	mc11_7TeV	2017-04-01 00:00:00.0
28	1291	1612260702931	mc14_8TeV	2015-12-01 00:00:00.0
39	39	1201219900	data14_comm	2024-08-01 00:00:00.0
86	76137	4229281972268	mc15_14TeV	2019-04-01 00:00:00.0
279	30519	1869827271975	mc12_valid	2017-06-01 00:00:00.0
138	28483	3914369254286	mc12_14TeV	2017-05-01 00:00:00.0
25	114510	1224439147632	mc12_2TeV	2017-04-01 00:00:00.0
15	1664	114623554520	mc11_7TeV	2017-08-01 00:00:00.0
10	49147	11534604274418	mc12_7TeV	2016-05-01 00:00:00.0
69	10206	2980963415782	mc12_14TeV	2017-10-01 00:00:00.0
6	1800	137115521928	mc12_2TeV	2017-10-01 00:00:00.0
9	420	657699148620	mc12_8TeV	2014-10-01 00:00:00.0
441	59367	25756967691499	data14_cos	2016-11-01 00:00:00.0
52	43904	1295140143212	mc15_5TeV	2018-06-01 00:00:00.0
44	4293	3611191731	data12_cvalid	2016-05-01 00:00:00.0
88	2208	702556418595	ddo	2010-05-01 00:00:00.0
318	318	98826726084	group.proj-sit	2011-04-01 00:00:00.0
90	90	45983128884	group.proj-sit	2010-04-01 00:00:00.0
107	247	65456751070	ddo	2011-09-01 00:00:00.0
141	141	17059017147	group.proj-sit	2010-01-01 00:00:00.0
81	81	17762564727	group.proj-sit	2012-08-01 00:00:00.0
156	156	384162995490	group.proj-sit	2013-05-01 00:00:00.0
15	15	9619853565	group.proj-sit	2009-09-01 00:00:00.0
96	96	37878397860	group.proj-sit	2012-06-01 00:00:00.0
56	224	900713912	cond12_data	2012-05-01 00:00:00.0
70	112	49282196642	ddo	2012-10-01 00:00:00.0
14	14	10651660194	ddo	2016-04-01 00:00:00.0
207	2195	700616253421	ddo	2012-03-01 00:00:00.0
99	182	57986364347	ddo	2013-03-01 00:00:00.0
322	6552	586472301072	cond12_data	2013-01-01 00:00:00.0
70	1176	750467914	cond12_data	2014-06-01 00:00:00.0
103	125185	5269510115283	mc15_14TeV	2017-04-01 00:00:00.0
56	56	52406015508	ddo	2014-04-01 00:00:00.0
43	43	28230879897	ddo	2015-10-01 00:00:00.0
28	98	424236890	cond11_data	2012-02-01 00:00:00.0
5	38	28984693224	data09_larcomm	2108-06-01 00:00:00.0
56	61845	4711743766535	data15_13TeV	2026-03-01 00:00:00.0
6	1504	2893243155328	data11_7TeV	2110-08-01 00:00:00.0
19	406	222336181072	data15_5TeV	2016-12-01 00:00:00.0
20	8578	312336364402	data15_hi	2025-12-01 00:00:00.0
28	1922	1715361737668	valid2	2015-03-01 00:00:00.0
17	12668	36311204333509	data13_2p76TeV	2016-07-01 00:00:00.0
93	3098	884765552429	valid2	2017-08-01 00:00:00.0
81	57700	4812596502178	valid2	2017-07-01 00:00:00.0
2	400	1029858298376	valid2	2016-02-01 00:00:00.0
153	764	693067143776	data15_calib	2114-07-01 00:00:00.0
29	32	3187468296	data08_idcomm	2106-09-01 00:00:00.0
132	82004	7736555069360	data10_7TeV	2021-02-01 00:00:00.0
78	1713	5547154018796	data10_7TeV	2016-04-01 00:00:00.0
74	137	15436856479	data09_900GeV	2011-03-01 00:00:00.0
58	58	139854077	data09_muoncomm	2014-07-01 00:00:00.0
26	18581	7673682054383	mc15_valid	2017-02-01 00:00:00.0
34	20713	13390636318209	mc12_14TeV	2014-12-01 00:00:00.0
3	30000	133662319374	mc12_7TeV	2018-02-01 00:00:00.0
6	1639	4025122437760	data11_cos	2109-08-01 00:00:00.0
26	2823	1764514996578	data12_8TeV	2014-09-01 00:00:00.0
2	174	406897317593	data11_2p76TeV	2014-02-01 00:00:00.0
6	5912	2669009238	data12_hip	2019-08-01 00:00:00.0
4	87	10591806769	data12_cvalid	2017-04-01 00:00:00.0
66	66	11724048714	sit	2014-05-01 00:00:00.0
15	15	1239253251	group.proj-sit	2011-10-01 00:00:00.0
8	972	31300888032	data13_2p76TeV	2017-10-01 00:00:00.0
18	6835	503363689322	data10_7TeV	2018-06-01 00:00:00.0
22	440	733815945157	mc12_8TeV	2013-11-01 00:00:00.0
26	42320	77591481344636	data15_cos	2016-07-01 00:00:00.0
16	1040	79713712328	data16_cos	2021-07-01 00:00:00.0
22	9577	5061816309276	data09_calocomm	2107-10-01 00:00:00.0
13	13	1899409888	data09_muoncomm	2013-12-01 00:00:00.0
12	12	1482905305	data08_cosmag	2009-10-01 00:00:00.0
9	567	46138268857	data10_900GeV	2020-08-01 00:00:00.0
37	1164	2276694553608	data09_calocomm	2108-05-01 00:00:00.0
38	5807	6542430174	data13_hip	2026-07-01 00:00:00.0
1	500	63773589115	mc15_valid	2016-03-01 00:00:00.0
3	1399	51771756710	data13_2p76TeV	2017-06-01 00:00:00.0
4	4	237530131	data11_hip	2021-09-01 00:00:00.0
24	123	4132026282	data11_comm	2016-08-01 00:00:00.0
3	60	267281084666	data11_hi	2016-07-01 00:00:00.0
3	3	269894101	data12_calocomm	2022-05-01 00:00:00.0
3	11	2902027016	data11_7TeV	2016-12-01 00:00:00.0
21	21	1868619479	data12_comm	2022-10-01 00:00:00.0
22	22	731453914	data14_cos	2024-05-01 00:00:00.0
1	7712	12279841646	mc11_7TeV	2015-06-01 00:00:00.0
8	8217	2640401785101	mc12_5TeV	2015-11-01 00:00:00.0
16	4598	92982413505	data15_comm	2015-10-01 00:00:00.0
3	3	155414163	group.proj-sit	2013-07-01 00:00:00.0
41	41	15890920057	ddo	2010-12-01 00:00:00.0
8	801	2462322046182	data12_8TeV	2014-03-01 00:00:00.0
10	17500	602884966370	mc11_7TeV	2019-06-01 00:00:00.0
7	15151	10086817565152	data10_hi	2113-02-01 00:00:00.0
10	12528	9095113566279	data12_cvalid	2017-01-01 00:00:00.0
24	24	3194010797	data09_2TeV	2020-01-01 00:00:00.0
4	4	163054524	data09_cos	2013-12-01 00:00:00.0
19	198	31334898648	data09_cos	2009-10-01 00:00:00.0
18	18	11238532982	sit	2016-10-01 00:00:00.0
6	10859	226245861370	mc11_valid	2016-09-01 00:00:00.0
23	1508	1550694442168	data11_calocomm	2109-09-01 00:00:00.0
2	0	0	mc12_valid	2113-05-01 00:00:00.0
16	14	13918181298	ddo	2015-02-01 00:00:00.0
26	2182	7837121942297	data10_7TeV	2015-06-01 00:00:00.0
18	31142	15721437526801	data11_hi	2016-08-01 00:00:00.0
2	41	244480594	mc_evind	2017-04-01 00:00:00.0
11	87	66714974840	data09_larcomm	2108-04-01 00:00:00.0
2	169	374212389627	data11_7TeV	2011-04-01 00:00:00.0
1	2	667428185	data12_hip	2017-11-01 00:00:00.0
2	15	105237663	data13_hip	2018-11-01 00:00:00.0
25	37655	18724708440809	mc12_5TeV	2014-10-01 00:00:00.0
6	1264	73815551727	data12_8TeV	2024-03-01 00:00:00.0
28	28	22249778544	ddo	2014-03-01 00:00:00.0
4	136	52225855104	mc12_13TeV	2018-05-01 00:00:00.0
3	26	1253455490	data12_hip	2017-12-01 00:00:00.0
2	3599	1809826190633	mc10_7TeV	2016-09-01 00:00:00.0
13	130	100610699992	data10_larcomm	2109-02-01 00:00:00.0
7	7	4472817440	data16_1beam	2026-02-01 00:00:00.0
1	42	3712667034	data10_hi	2021-12-01 00:00:00.0
11	19381	34524814944873	mc12_14TeV	2014-07-01 00:00:00.0
4	1050	11808018338	data16_comm	2016-06-01 00:00:00.0
2	984	38593291956	data13_2p76TeV	2025-04-01 00:00:00.0
11	180	1131846645	data12_8TeV	2018-11-01 00:00:00.0
14	14	8075620	cond12_data	2012-09-01 00:00:00.0
1	1000	383737907839	mc12_5TeV	2016-01-01 00:00:00.0
12	1600	312468671688	mc12_13TeV	2018-09-01 00:00:00.0
7	943	54125703613	data15_cos	2016-02-01 00:00:00.0
1	258	62766127	mc_evind	2016-02-01 00:00:00.0
14	309	49233062473	data08_cos	2010-03-01 00:00:00.0
7	7	1184785271	data12_larcomm	2021-12-01 00:00:00.0
1	1	2318771422	data13_hip	2015-02-01 00:00:00.0
4	262	936382932736	data11_7TeV	2017-04-01 00:00:00.0
2	2	123484033	data12_larcomm	2022-03-01 00:00:00.0
4	4	158981937	data14_cos	2024-04-01 00:00:00.0
6	6	8368807230	sit	2014-02-01 00:00:00.0
6	6	11589676344	sit	2014-03-01 00:00:00.0
5	11545	97631875660	mc12_2TeV	2016-07-01 00:00:00.0
9	6400	1738659847372	mc12_13TeV	2016-12-01 00:00:00.0
33	345	401435785827	data16_cos	2021-06-01 00:00:00.0
1	5150	3264949530582	data15_hi	2018-07-01 00:00:00.0
4	10	271835485	data12_8TeV	2020-04-01 00:00:00.0
6	6	3041230095	data16_1beam	2026-01-01 00:00:00.0
2	7	5651236380	data12_cvalid	2112-03-01 00:00:00.0
4	410	85783549580	mc15_valid	2018-05-01 00:00:00.0
1	42	48133787	data13_2p76TeV	2014-04-01 00:00:00.0
3	31	4206540381	mc15_valid	2018-11-01 00:00:00.0
2	4	613517661	data13_hip	2018-02-01 00:00:00.0
3	9998	5241827242727	mc15_14TeV	2016-03-01 00:00:00.0
4	45	849131865	data11_2p76TeV	2016-03-01 00:00:00.0
2	66	15430977	data08_1beammag	2010-03-01 00:00:00.0
2	2	385406946	data09_muoncomm	2014-10-01 00:00:00.0
4	800	98109535576	mc12_5TeV	2018-06-01 00:00:00.0
1	192	449173177811	data11_7TeV	2014-02-01 00:00:00.0
4	6	133339861	data15_comm	2020-02-01 00:00:00.0
1	1	51042878	ddo	2007-11-01 00:00:00.0
2	484	54272645790	data15_test	2017-05-01 00:00:00.0
3	3073	3157185765088	data12_cvalid	2113-09-01 00:00:00.0
1	199	69552220576	mc14_valid	2015-03-01 00:00:00.0
2	1398	3415625420736	data11_7TeV	2113-05-01 00:00:00.0
2	30	403396404	data11_tilecomm	2110-02-01 00:00:00.0
2	1000	163983725054	mc12_7TeV	2017-01-01 00:00:00.0
1	532	181610308227	data15_13TeV	2015-10-01 00:00:00.0
2	16	4226027200	data10_900GeV	2011-08-01 00:00:00.0
1	2	52617006	data13_2p76TeV	2014-10-01 00:00:00.0
2	354	22235292580	mc12_5TeV	2016-09-01 00:00:00.0
2	66	3721510998	data08_1beammag	2009-10-01 00:00:00.0
2	1773	1393320827232	data12_8TeV	2112-12-01 00:00:00.0
1	1	14528979	data08_cosm7	2018-04-01 00:00:00.0
1	200	46671311849	valid2	2015-06-01 00:00:00.0
2	3326	7645485624947	data11_hi	2017-05-01 00:00:00.0
1	1	11215141	data10_10TeV	2011-05-01 00:00:00.0
1	4281	157589466192	data12_cvalid	2018-03-01 00:00:00.0
1	1	79327305	data12_larcomm	2022-05-01 00:00:00.0
1	1	164814151	data10_muoncomm	2015-01-01 00:00:00.0
2	17	5467516511	data12_cos	2019-03-01 00:00:00.0
16283	1811156	2364790793386218	mc15_13TeV	2017-05-01 00:00:00.0
820	3929124	22549124095332	data15_13TeV	2019-01-01 00:00:00.0
15250	1271050	412631946556080	mc15_13TeV	2016-06-01 00:00:00.0
28	28	436541254	data08_idcomm	2018-05-01 00:00:00.0
862	171169	234864385836128	data_test	2113-10-01 00:00:00.0
825	198933	176212109957670	data15_13TeV	2017-07-01 00:00:00.0
77	6187	9619298959016	data08_calocomm	2107-03-01 00:00:00.0
2262	1378917	2409548784646771	data16_13TeV	2018-07-01 00:00:00.0
968	112315	197931969946204	data08_cosmag	2107-03-01 00:00:00.0
388	388	51638468252	data16_cos	2026-04-01 00:00:00.0
559	267520	360717653890892	data16_13TeV	2114-11-01 00:00:00.0
221	207062	24247550447715	mc15_14TeV	2016-08-01 00:00:00.0
495	291556	529425606710852	data13_hip	2016-09-01 00:00:00.0
1695	23391	1693161744863	data15_cos	2025-04-01 00:00:00.0
465	12225	3328157612754	data16_cos	2021-04-01 00:00:00.0
673	3140	2652134363972	data16_calib	2114-11-01 00:00:00.0
250	117809	11884776489360	data15_5TeV	2026-01-01 00:00:00.0
1764	515334	452914643169408	data16_cos	2114-10-01 00:00:00.0
1765	54650	93967856782	mc_evind	2016-11-01 00:00:00.0
2872	232993	186543302099505	data16_13TeV	2016-10-01 00:00:00.0
38	40638	413432450546	mc14_13TeV	2018-04-01 00:00:00.0
68	49036	38253677509620	mc15_14TeV	2016-09-01 00:00:00.0
2214	551754	465193796227992	data15_cos	2113-09-01 00:00:00.0
151	834	123893500431	mc12_14TeV	2019-03-01 00:00:00.0
158	47716	31707118553786	mc12_14TeV	2016-12-01 00:00:00.0
1382	182306	166169215232913	valid1	2016-09-01 00:00:00.0
567	567	139843560038	data15_cos	2025-05-01 00:00:00.0
657	5007	4538011001044	data15_calib	2114-03-01 00:00:00.0
229	43444	5137711182446	data15_comm	2017-08-01 00:00:00.0
71	71	13027502587	data16_cos	2026-06-01 00:00:00.0
3719	386654	95812040382902	data15_13TeV	2016-07-01 00:00:00.0
216	890	628948904484	data14_calib	2113-06-01 00:00:00.0
164	8003	1570102040858	valid3	2017-02-01 00:00:00.0
18	4452	1361975005993	data16_cos	2016-04-01 00:00:00.0
10	100	29096548235	mc15_14TeV	2018-12-01 00:00:00.0
867	18243	7350846056172	data16_comm	2021-03-01 00:00:00.0
2494	2683451	1203448060385494	data15_13TeV	2017-10-01 00:00:00.0
223	3790	6029789117	data12_8TeV	2020-02-01 00:00:00.0
2083	44960	83077634393745	data12_8TeV	2017-03-01 00:00:00.0
921	479766	681867437729296	data15_13TeV	2114-01-01 00:00:00.0
162	12402	868164842721	data15_hi	2026-03-01 00:00:00.0
824	71100	3438729850503	data15_13TeV	2025-07-01 00:00:00.0
403	57522	1576693352326	mc12_13TeV	2018-01-01 00:00:00.0
493	19064	15899514028586	data15_hi	2017-01-01 00:00:00.0
192	112894	100043916382841	mc15_5TeV	2017-07-01 00:00:00.0
623	16063	24442249873787	data15_comm	2020-05-01 00:00:00.0
221	8112	101687616845	data08_cos	2008-12-01 00:00:00.0
109	30883	26653658755912	data10_calocomm	2108-08-01 00:00:00.0
99	536	38348450803	data10_7TeV	2011-05-01 00:00:00.0
1356	207062	410859236142800	data10_7TeV	2109-05-01 00:00:00.0
934	138491	14545919316659	mc12_8TeV	2017-12-01 00:00:00.0
814	107960	6025647343274	data15_hi	2025-10-01 00:00:00.0
435	13731	2135615999736	data16_cos	2021-02-01 00:00:00.0
2374	1551979	848802350387608	data12_8TeV	2111-02-01 00:00:00.0
313	13540	1705175429642	data08_cosmag	2010-10-01 00:00:00.0
688	29348	369132154156	data08_cosmag	2009-01-01 00:00:00.0
21	1443	888388176714	mc15_valid	2016-05-01 00:00:00.0
23	613626	5648090979817	mc12_14TeV	2019-01-01 00:00:00.0
33	148	12418722935	data10_1beam	2012-02-01 00:00:00.0
543	543	54717808966	data10_1beam	2020-01-01 00:00:00.0
107	970	150933985274	data10_cos	2012-02-01 00:00:00.0
860	302339	572575141591580	data10_7TeV	2109-02-01 00:00:00.0
210	83255	78550295206400	data10_comm	2109-02-01 00:00:00.0
469	469	14084532571	data09_cos	2019-03-01 00:00:00.0
155	155	450902490	data09_calocomm	2014-03-01 00:00:00.0
106	106	1745930511	data08_idcomm	2013-11-01 00:00:00.0
65	65	922012562	data09_calocomm	2019-02-01 00:00:00.0
720	220202	54703471693849	valid1	2017-12-01 00:00:00.0
286	27358	4405735415986	valid3	2017-05-01 00:00:00.0
181	1749	20343343971	data09_900GeV	2011-01-01 00:00:00.0
784	5234	4055604042784	data10_calib	2108-10-01 00:00:00.0
41	41	1039856172	data09_muoncomm	2019-02-01 00:00:00.0
80	163	877093788	data08_cos	2019-01-01 00:00:00.0
52	2256	289444404834	data08_cos	2010-09-01 00:00:00.0
57	28795	44128397704124	data09_cos	2108-04-01 00:00:00.0
86	7275	4121845973644	data09_idcomm	2108-04-01 00:00:00.0
27	34	7891089326	data09_calophys	2010-10-01 00:00:00.0
91	91	792828207	data09_muoncomm	2014-08-01 00:00:00.0
12	12	178132163	data09_idcomm	2014-09-01 00:00:00.0
23	531	14395583794	data08_1beammag	2019-02-01 00:00:00.0
237	2040	1318513063	mc15_14TeV	2019-08-01 00:00:00.0
36	190	30791270236	data10_7TeV	2020-10-01 00:00:00.0
126	126	13640671529	data10_comm	2020-06-01 00:00:00.0
98	98	9924230237	data10_comm	2020-05-01 00:00:00.0
29	2687	1272954607032	data10_cos	2109-01-01 00:00:00.0
10	573	135280208890	data10_7TeV	2012-06-01 00:00:00.0
47	13802	43414659640628	data10_cos	2109-02-01 00:00:00.0
21	202	208913268640	data09_cvalid	2108-07-01 00:00:00.0
1563	248740	76374569947107	data12_8TeV	2017-04-01 00:00:00.0
656	23382	24337326694984	data16_calib	2115-03-01 00:00:00.0
376	22470	10000927598056	data16_comm	2115-02-01 00:00:00.0
217	54981	43660691916421	valid2	2017-06-01 00:00:00.0
593	45913	17501112912420	mc12_8TeV	2016-02-01 00:00:00.0
379	10974	2195829107285	mc12_13TeV	2018-02-01 00:00:00.0
539	70188	5087407546295	data15_13TeV	2025-04-01 00:00:00.0
452	234994	319672430693720	data15_5TeV	2114-06-01 00:00:00.0
22	37300	26959093491754	mc12_14TeV	2015-07-01 00:00:00.0
282	67750	14037217056903	data15_cos	2017-08-01 00:00:00.0
168	279684	672636705648	data15_13TeV	2019-02-01 00:00:00.0
26	10350	661665446313	mc15_valid	2016-07-01 00:00:00.0
36	7529	2332577953903	valid3	2016-12-01 00:00:00.0
807	2720	1440871900660	data12_calib	2110-10-01 00:00:00.0
408	2928261	23848636775884	data15_13TeV	2018-10-01 00:00:00.0
49	103460	7425504787468	mc12_14TeV	2016-05-01 00:00:00.0
34	1462	118942501088	data_test	2115-03-01 00:00:00.0
15	46335	2037019079332	mc15_5TeV	2016-08-01 00:00:00.0
70	62	40857020578	sit	2016-04-01 00:00:00.0
765	13415	11001004505616	data12_calib	2111-03-01 00:00:00.0
776	8873	8000226203748	data12_calib	2110-12-01 00:00:00.0
46	128667	38380142688737	mc15_14TeV	2016-02-01 00:00:00.0
287	13120	13045360414968	data15_13TeV	2018-09-01 00:00:00.0
200	29224	2777032694861	data15_comm	2017-11-01 00:00:00.0
136	11773	3575115552253	mc12_14TeV	2016-08-01 00:00:00.0
649	649	130116987243	data11_7TeV	2021-01-01 00:00:00.0
478	24688	32585557761664	data11_cos	2109-09-01 00:00:00.0
482	4143	3646184356808	data11_calib	2109-11-01 00:00:00.0
120	5596	2263771681176	data11_comm	2109-12-01 00:00:00.0
330	1902	955299610884	data12_cos	2017-02-01 00:00:00.0
2712	7654	2435989533737	data11_7TeV	2016-07-01 00:00:00.0
758	69425	4600786575392	data11_7TeV	2021-05-01 00:00:00.0
127	18707	49349476606433	data11_7TeV	2015-12-01 00:00:00.0
305	1367	44250214386	data11_hi	2021-09-01 00:00:00.0
58	329	24335798201	data12_cos	2017-03-01 00:00:00.0
64	242	30076598849	data11_7TeV	2012-07-01 00:00:00.0
43	5416	36653660802	data11_7TeV	2012-12-01 00:00:00.0
21	21	2192693754	data12_comm	2022-03-01 00:00:00.0
68	488	353550933067	data12_comm	2017-06-01 00:00:00.0
165	165	12737206826	data12_cos	2022-01-01 00:00:00.0
26	4916	1256487331780	data12_comm	2111-02-01 00:00:00.0
38	96	3156655308	data12_hip	2017-08-01 00:00:00.0
90	90	9328077623	data13_hip	2022-11-01 00:00:00.0
676	676	117269348522	data13_hip	2022-12-01 00:00:00.0
275	424895	25976401789361	data12_8TeV	2023-03-01 00:00:00.0
120	892	696929713384	data14_calib	2112-10-01 00:00:00.0
26	169	77226062900	data14_cos	2019-04-01 00:00:00.0
51	4663	4179974357696	data14_cos	2019-10-01 00:00:00.0
31	2169	4960414661	data13_hip	2019-10-01 00:00:00.0
65	7574	3223829297240	mc11_7TeV	2017-02-01 00:00:00.0
295	58412	20454824151948	mc12_14TeV	2015-09-01 00:00:00.0
22	208	8774574941	valid3	2017-09-01 00:00:00.0
149	237782	98694437379589	mc15_5TeV	2017-03-01 00:00:00.0
65	71340	31150851179930	mc12_14TeV	2015-12-01 00:00:00.0
28	5936	1543469087740	mc12_14TeV	2017-08-01 00:00:00.0
10	1006	70090191714	mc11_7TeV	2017-09-01 00:00:00.0
132	12674	1399703669842	mc12_13TeV	2017-10-01 00:00:00.0
29	8013	1714902203321	mc15_5TeV	2017-02-01 00:00:00.0
21	180	137074973463	data15_cos	2020-09-01 00:00:00.0
50	1286	325884052026	data15_5TeV	2016-06-01 00:00:00.0
133	11533	6119117768484	valid1	2015-03-01 00:00:00.0
93	93	15210691683	group.proj-sit	2012-02-01 00:00:00.0
18	18	26348830632	group.proj-sit	2013-02-01 00:00:00.0
4	4	777293364	ddo	2008-12-01 00:00:00.0
54	54	5399070570	group.proj-sit	2013-03-01 00:00:00.0
300	300	50507350932	group.proj-sit	2012-01-01 00:00:00.0
73	2144	85626289170	mc12_valid	2017-07-01 00:00:00.0
6	6	650499336	group.proj-sit	2012-12-01 00:00:00.0
102	0	0	trash	2011-05-01 00:00:00.0
138	138	56901289908	group.proj-sit	2012-04-01 00:00:00.0
97	21109	7969370290493	mc12_8TeV	2016-04-01 00:00:00.0
42	42	19463816256	group.proj-sit	2013-08-01 00:00:00.0
186	186	81550799076	sit	2013-02-01 00:00:00.0
26	74	9540756897	ddo	2010-03-01 00:00:00.0
45	45	38639426169	group.proj-sit	2010-11-01 00:00:00.0
27	27	1386654465	group.proj-sit	2010-12-01 00:00:00.0
20	1669	834987286817	data16_13TeV	2017-06-01 00:00:00.0
42	42	35348463682	ddo	2014-02-01 00:00:00.0
25	25	11464914279	ddo	2012-06-01 00:00:00.0
56	126	30038498	cond10_data	2012-05-01 00:00:00.0
14	210	22184176	cond12_data	2012-12-01 00:00:00.0
14	14	206542	cond10_data	2014-06-01 00:00:00.0
16	6678	347673334084	mc15_valid	2019-02-01 00:00:00.0
28	42	20655423614	ddo	2013-12-01 00:00:00.0
46	2712	1227866764940	data_test	2114-04-01 00:00:00.0
82	11305	11240154012160	data_test	2114-02-01 00:00:00.0
13	16	2444644029	data09_calocomm	2011-04-01 00:00:00.0
102	51000	16923818748368	data12_8TeV	2112-10-01 00:00:00.0
29	28	1122881556	data08_calib	2106-10-01 00:00:00.0
38	38	3198589298	data10_1beam	2020-03-01 00:00:00.0
6	132	18815003072	data10_900GeV	2011-07-01 00:00:00.0
22	22	6361355336	data10_900GeV	2020-04-01 00:00:00.0
8	159	26226240728	data09_cos	2010-08-01 00:00:00.0
22	433	10520158456	data08_1beammag	2019-08-01 00:00:00.0
35	4671	1435369956340	data08_cos	2107-07-01 00:00:00.0
29	30	1712097814	data09_cos	2011-04-01 00:00:00.0
5	17	70212138	data09_idcomm	2014-06-01 00:00:00.0
7	1296	4060334535021	data10_7TeV	2015-09-01 00:00:00.0
2	210	70609048712	data10_idcomm	2109-02-01 00:00:00.0
19	70	817850784	data09_1beam	2011-11-01 00:00:00.0
4	215	181381352870	mc15_valid	2015-12-01 00:00:00.0
30	3738	4582382408981	data15_comm	2015-12-01 00:00:00.0
14	1279	5081017636403	mc14_13TeV	2015-12-01 00:00:00.0
11	12189	15873895699617	mc12_14TeV	2014-05-01 00:00:00.0
5	37	14926202980	data11_cos	2110-05-01 00:00:00.0
18	18	1540064583	data12_1beam	2022-01-01 00:00:00.0
3	47	6661654580	data12_larcomm	2111-01-01 00:00:00.0
49	14850	10165157284540	data16_comm	2016-08-01 00:00:00.0
32	28172	13181379697	data13_2p76TeV	2019-08-01 00:00:00.0
8	8	163937140	data16_cos	2026-05-01 00:00:00.0
2	166	11461145620	mc11_7TeV	2017-10-01 00:00:00.0
32	3245	135852815106	data10_7TeV	2025-09-01 00:00:00.0
36	59	33445205128	data14_calib	2113-10-01 00:00:00.0
30	8265	87037554555	comcond	2015-04-01 00:00:00.0
14	686	84094025582	cond11_data	2014-06-01 00:00:00.0
28	28	15123882956	ddo	2012-08-01 00:00:00.0
14	28	16155482	cond12_data	2012-06-01 00:00:00.0
20	12118	619323019010	data15_cos	2015-11-01 00:00:00.0
3	6458	1690706349	data10_hi	2019-06-01 00:00:00.0
35	59	8450399951	data09_900GeV	2012-05-01 00:00:00.0
6	6	5517872757	data10_900GeV	2011-12-01 00:00:00.0
21	9031	2269801320896	data09_muoncomm	2107-08-01 00:00:00.0
2	2	23368177	data09_calocomm	2010-08-01 00:00:00.0
8	8400	347711113554	mc15_valid	2018-03-01 00:00:00.0
20	130	16038655795	mc15_5TeV	2019-01-01 00:00:00.0
4	4000	104114086944	mc14_13TeV	2018-05-01 00:00:00.0
2	453	5722055844	data13_2p76TeV	2018-10-01 00:00:00.0
6	6	2961868896	data14_calib	2112-11-01 00:00:00.0
3	14916	4315384113948	mc12_5TeV	2016-11-01 00:00:00.0
24	24	9722954880	group.proj-sit	2010-02-01 00:00:00.0
2	1061	3918741344340	data10_hi	2110-03-01 00:00:00.0
16	16	12884703392	ddo	2015-11-01 00:00:00.0
3	12	29334690	cond12_data	2015-05-01 00:00:00.0
4	12	2906618	data15_comm	2016-07-01 00:00:00.0
5	10	2766148120	mc12_13TeV	2019-04-01 00:00:00.0
25	8158	1715989546032	data12_comm	2110-09-01 00:00:00.0
