9002121,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2819,0.6106028334965012,0.14358208460516217,0.6854943414809658,0.16417135995373022,38493875.0,43099099.0,1.0,66801682.0,0.8924107288090755
9002167,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2571,1.0212994825926591,0.2468271640039442,1.1150483988519404,0.4036320513977514,61601768.0,66314529.0,1.0,63961228.0,0.9253270956852062
9002198,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2166,0.7544590088299395,0.2157434103026307,0.8359314227317832,0.40450988400314486,36489750.0,39863481.0,1.0,52025245.0,0.9132254205049222
9002179,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2128,1.036554501714355,0.27250124115806706,1.1151421043595888,0.29018244853445446,49396634.0,53134792.0,1.0,50861713.0,0.9292534905918429
9002142,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2123,0.72459840012394,0.21140884367867374,0.8010555108018169,0.23368039820743616,37481717.0,41531638.0,1.0,55029178.0,0.8991322496672011
9002226,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,2090,0.7345799647092764,0.22356315139434427,0.7954146659175378,0.23841341428415866,48507363.0,52689389.0,1.0,69713025.0,0.9197950210997929
9002154,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1831,0.6307587377325898,0.18238529997866013,0.7106470584555395,0.3407706265872378,33306855.0,36860865.0,1.0,56726315.0,0.900781645504477
9002259,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1434,0.5784070354445487,0.14682537586174188,0.6383313570741855,0.16098516753101558,25338827.0,27977884.0,1.0,46801291.0,0.9065465754353539
9002212,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1430,0.539639587882599,0.1788220606027897,0.6039237842863064,0.35082090730808185,26645870.0,29150420.0,1.0,52741998.0,0.9110325392212094
9002251,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1226,0.4840853119195197,0.12068712625314754,0.5307664742212538,0.13147928259281377,21177779.0,23232033.0,1.0,46111981.0,0.9124054856675557
9002241,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1082,0.5359628175518618,0.1310064165001027,0.5884858912017784,0.14255348981820193,19756652.0,21701172.0,1.0,39050300.0,0.9107907705417726
9002104,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1064,0.6672165510563974,0.16679975366950475,0.7227934914651246,0.1803696198225822,25055508.0,27136186.0,1.0,39732797.0,0.9233487516256268
9002190,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,1049,0.5179550312265063,0.13513484749415983,0.5737999876790189,0.14631076032213108,18290595.0,20294773.0,1.0,37533809.0,0.9023303206251444
9002134,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,912,0.566172242104935,0.126811010203614,0.6245208367652718,0.13886306263842968,16848719.0,18572683.0,1.0,31469715.0,0.9070644260193689
9002113,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,808,0.6289503881947357,0.1574380359937507,0.6929293729103488,0.17443744971887803,17140802.0,18867564.0,1.0,28532825.0,0.9077041153375613
9002331,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,408,1.1049439581753273,0.21277453747866582,1.195631681315935,0.23734808193681273,8572386.0,9273657.0,1.0,7972944.0,0.9235612612154541
9002288,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,223,0.6638825016250345,0.12834907132382825,0.7342864374436924,0.1387748830312864,3356225.0,3709639.0,1.0,5208389.0,0.904233873061222
9002350,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,165,0.8446532153682902,0.15170926593107217,0.9127968624273527,0.16626698333076692,3669378.0,3957696.0,1.0,4455597.0,0.9260530172678485
9002307,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,158,0.8823702429812537,0.13762554353480289,0.963693484052497,0.1516861750117275,2707419.0,2951347.0,1.0,3148477.0,0.9163690694187433
9002271,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,142,0.2154092775868689,0.34343984133819083,0.2322478998331408,0.3705017500499677,904996.0,974817.0,1.0,1273921.0,NaN
9002334,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,126,0.5225415566234124,0.1228885693878696,0.5701359188070052,0.1325716778264542,2100350.0,2289085.0,1.0,4109993.0,0.9163578996916794
9002322,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,122,1.1617950115424238,0.3930604343840926,1.457971912314146,0.9426736057969497,2236007.0,2459564.0,1.0,2106760.0,0.8552991277389314
9002301,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,105,0.5778471524321172,0.12363761404885862,0.6384758713050876,0.1397909976494615,1687887.0,1861407.0,1.0,3003416.0,0.9071088681508773
9002362,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,102,0.588257290772122,0.08773739106163483,0.6404103024444825,0.09642674945823827,1770551.0,1927448.0,1.0,3058779.0,0.9190267984898768
9002315,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,88,0.6499326393653609,0.1139425699351333,0.7113919296474726,0.12939877063764826,1668373.0,1820965.0,1.0,2656801.0,0.9149228937290591
9002344,merge,Reco_tf.py,Atlas-20.7.6,BNL_PROD,80,0.5768446899957718,0.12341368918062849,0.6297874920043897,0.131444413191341,1410061.0,1539948.0,1.0,2514361.0,0.9153889897740655
